function_name, Sched_True_Mask_False_Trim_False, Sched_True_Mask_True_Trim_False, Sched_True_Mask_True_Trim_True
mult         ,               19.333333333333332,              20.318181818181817,             14.090909090909092
nested       ,               16.333333333333332,              19.11764705882353 ,             14.552631578947368
