function_name, Sched_True_Mask_False_Trim_False, Sched_True_Mask_True_Trim_False, Sched_True_Mask_True_Trim_True
mult         ,               20.666666666666668,               25.22222222222222,             18.708333333333332
nested       ,               35.0              ,               22.64516129032258,             16.92
